stateid,wave1-weekid,wave2-weekid,wave1-monthid,wave2-monthid
AN,40,NaN,5,NaN
AP,38,118,5,14
AR,56,125,7,NaN
AS,41,123,5,14
BR,41,115,5,14
CH,48,116,6,14
CT,51,112,6,13
DN,38,115,5,14
DL,67,114,8,14
GA,43,117,5,14
GJ,13,115,4,14
HR,50,116,6,14
HP,69,120,8,14
JK,51,119,6,14
JH,48,114,5,14
KA,38,117,5,14
KL,57,116,7,14
LA,26,114,6,14
LD,NaN,115,NaN,14
MP,51,113,6,14
MH,51,110,6,13
MN,62,121,7,14
ML,52,123,6,14
MZ,44,NaN,8,NaN
NL,40,120,5,14
OR,45,118,6,14
PY,47,120,5,14
PB,45,116,6,14
RJ,73,115,5,14
SK,36,118,5,14
TN,31,122,4,14
TG,47,116,5,14
TR,49,123,6,NaN
UP,39,114,5,14
UT,52,116,6,14
WB,35,116,5,14
