stateid,vaccinationratio,populationratio,ratioofratios
DN,0.4972214975215236,1.037437694996498,0.4792784182795691
NL,0.7523847773701235,0.9309070715923209,0.8082275882630968
JK,0.7455523824517059,0.8885620138474146,0.8390549796558525
DL,0.7397172033543211,0.8679572767250237,0.8522507077138889
UP,0.7792759347963198,0.9124365013149343,0.8540604564518041
LD,0.8319943102494534,0.9729380862777665,0.8551359248690418
AR,0.8059174374483583,0.9382318829211443,0.8589746864486946
GA,0.8596636196403641,0.9928487357825875,0.8658555816790725
JH,0.8223346310118775,0.9484654597389357,0.8670158966444855
MN,0.8552455093986634,0.9851395745544583,0.8681465362768102
AN,0.8810159055926116,0.9964325615920648,0.8841701280666254
PB,0.7979464196655451,0.8951060028491479,0.8914546624932231
GJ,0.8315160428870829,0.9192528974705998,0.9045563469803227
ML,0.8945028556593977,0.9887554362689632,0.904675537395552
MP,0.8491049332464198,0.9309320997228939,0.9121018960450163
OR,0.8973625497907078,0.9787831833625807,0.9168144335171813
HR,0.8072477707382472,0.8786188745921186,0.918768984006855
CH,0.7546896226228866,0.8176636017793454,0.9229830225786999
AS,0.8958963376813452,0.9577582478885868,0.9354096815729664
SK,0.8328783514908655,0.8899216887980933,0.9359007224733795
WB,0.8943818377474374,0.9499682187369543,0.9414860624880456
BR,0.8729205751333025,0.9178884795222505,0.9510094032203636
PY,1.0531766617374936,1.0843078720382304,0.9712893255656091
RJ,0.904200622324948,0.9281720003520576,0.9741735604844607
UT,0.9537175300456313,0.9631641958490575,0.9901920504892744
TR,0.9521209261439372,0.9600747128644412,0.991715450252019
CT,0.9860537782411236,0.9906028998133313,0.9954077243534569
MZ,0.9819813106061632,0.975740943819901,1.0063955159674165
HP,0.9973037075952007,0.9715256702355313,1.0265335627759788
TN,0.9795989484547097,0.9464722398333484,1.0350001904199475
KA,0.9901060440486403,0.9294031034360559,1.0653138991984878
KL,1.0862531101289639,0.9733000514110994,1.116051631307431
MH,0.8434029898424685,0.6183990791811099,1.3638490389722298
AP,1.191942444125399,0.7738903798513626,1.5401954529455835
